# BinPerfLog  frames=20  splats/frame=202755  initLoadMs=291.14  initBuildMs=295.17
timestamp_s,draw_call,frame_index,sort_ms,render_encode_ms,scene_draw_ms,full_draw_ms
0.6239,0,0,18.796,0.144,22.241,22.276
0.6499,1,0,18.796,0.036,0.222,0.495
0.6588,2,1,37.143,0.044,37.361,37.385
0.7142,3,1,37.143,0.016,0.103,0.178
0.8423,4,2,30.653,0.044,30.901,30.935
0.8752,5,2,30.653,0.018,0.131,0.248
0.9590,6,3,31.784,0.053,32.154,32.184
0.9926,7,3,31.784,0.023,0.158,0.277
1.0756,8,4,30.722,0.049,31.122,31.157
1.1085,9,4,30.722,0.031,0.190,0.331
1.1923,10,5,39.114,0.049,39.634,39.665
1.2371,11,5,39.114,0.027,0.190,0.328
1.3255,12,6,37.167,0.037,37.662,37.688
1.3647,13,6,37.167,0.023,0.177,0.318
1.4423,14,7,36.748,0.046,37.277,37.310
1.4810,15,7,36.748,0.021,0.161,0.291
1.5421,16,8,52.391,0.043,52.738,52.767
1.5962,17,8,52.391,0.021,0.167,0.294
1.6267,18,9,87.642,0.047,87.941,87.968
1.7246,19,9,87.642,0.028,0.171,0.295
1.7922,20,10,38.322,0.064,38.686,38.724
1.8332,21,10,38.322,0.029,0.189,0.338
1.8924,22,11,52.954,0.056,53.304,53.338
1.9477,23,11,52.954,0.027,0.185,0.320
1.9757,24,12,99.471,0.089,99.759,99.818
2.0784,25,12,99.471,0.030,0.224,0.367
2.0922,26,13,122.059,0.061,122.308,122.350
2.2169,27,13,122.059,0.025,0.179,0.319
2.2423,28,14,121.495,0.065,121.740,121.783
2.3664,29,14,121.495,0.026,0.176,0.314
2.3923,30,15,122.954,0.056,123.188,123.221
2.5172,31,15,122.954,0.024,0.173,0.308
2.5422,32,16,138.527,0.060,138.759,138.797
2.6843,33,16,138.527,0.027,0.187,0.322
2.7589,34,17,88.512,0.078,88.936,88.983
2.8513,35,17,88.512,0.027,0.203,0.342
2.9256,36,18,65.337,0.070,65.768,65.803
2.9938,37,18,65.337,0.030,0.193,0.337
3.0089,38,19,28.936,0.032,29.151,29.170
3.0427,39,19,28.936,0.019,0.157,0.281
3.0758,40,0,18.796,0.033,0.190,0.207
3.0925,41,0,18.796,0.029,0.178,0.310
3.1258,42,1,37.143,0.079,0.395,0.441
3.1424,43,1,37.143,0.067,0.347,0.571
3.1756,44,2,30.653,0.064,0.290,0.320
3.1922,45,2,30.653,0.051,0.248,0.433
3.2090,46,3,31.784,0.069,0.354,0.396
3.2258,47,3,31.784,0.059,0.348,0.609
3.2428,48,4,30.722,0.119,0.649,0.725
3.2761,49,4,30.722,0.107,0.644,1.178
3.2927,50,5,39.114,0.116,0.724,0.800
3.3094,51,5,39.114,0.112,0.626,1.119
3.3261,52,6,37.167,0.125,0.667,0.742
3.3426,53,6,37.167,0.114,0.653,1.190
3.3594,54,7,36.748,0.123,0.645,0.716
3.3924,55,7,36.748,0.068,0.350,0.613
3.4093,56,8,52.391,0.129,0.669,0.743
3.4259,57,8,52.391,0.115,0.719,1.226
3.4425,58,9,87.642,0.092,0.593,0.692
3.4593,59,9,87.642,0.119,0.673,1.204
3.4923,60,10,38.322,0.061,0.310,0.349
3.5093,61,10,38.322,0.122,0.673,1.207
3.5261,62,11,52.954,0.116,0.663,0.737
3.5425,63,11,52.954,0.090,0.510,0.945
3.5757,64,12,99.471,0.061,0.321,0.371
3.5927,65,12,99.471,0.137,0.706,1.226
3.6094,66,13,122.059,0.115,0.664,0.745
3.6260,67,13,122.059,0.113,0.677,1.203
3.6593,68,14,121.495,0.097,0.679,0.740
3.6758,69,14,121.495,0.094,0.513,0.893
3.7095,70,15,122.954,0.130,0.709,0.767
3.7259,71,15,122.954,0.085,0.503,0.890
3.7756,72,16,138.527,0.071,0.420,0.482
3.7920,73,16,138.527,0.052,0.303,0.517
3.8090,74,17,88.512,0.061,0.342,0.386
3.8269,75,17,88.512,0.117,0.668,1.176
3.8589,76,18,65.337,0.132,0.778,0.871
3.8756,77,18,65.337,0.124,0.685,1.208
3.8934,78,19,28.936,0.089,0.531,0.588
3.9094,79,19,28.936,0.087,0.507,0.947
3.9260,80,0,45.462,0.040,46.026,46.050
3.9756,81,0,45.462,0.027,0.191,0.340
3.9935,82,1,30.236,0.042,30.552,30.575
4.0264,83,1,30.236,0.022,0.151,0.261
4.0433,84,2,25.553,0.027,25.715,25.740
4.0701,85,2,25.553,0.018,0.136,0.225
4.0922,86,3,21.340,0.027,21.468,21.487
4.1150,87,3,21.340,0.015,0.119,0.195
4.1422,88,4,19.712,0.026,19.836,19.856
4.1632,89,4,19.712,0.016,0.121,0.206
4.1922,90,5,17.029,0.025,17.141,17.158
4.2104,91,5,17.029,0.015,0.110,0.183
4.2423,92,6,17.160,0.023,17.261,17.279
4.2606,93,6,17.160,0.014,0.107,0.180
4.2922,94,7,17.014,0.024,17.112,17.128
4.3103,95,7,17.014,0.014,0.098,0.165
4.3422,96,8,16.786,0.023,16.885,16.901
4.3600,97,8,16.786,0.014,0.099,0.165
4.3921,98,9,14.624,0.022,14.719,14.735
4.4088,99,9,14.624,0.013,0.091,0.160
4.4422,100,10,16.129,0.023,16.231,16.247
4.4595,101,10,16.129,0.013,0.100,0.170
4.4923,102,11,17.834,0.024,17.933,17.951
4.5113,103,11,17.834,0.015,0.101,0.174
4.5423,104,12,17.126,0.024,17.235,17.255
4.5606,105,12,17.126,0.015,0.104,0.175
4.5923,106,13,16.701,0.024,16.804,16.821
4.6102,107,13,16.701,0.015,0.105,0.176
4.6423,108,14,16.986,0.023,17.088,17.106
4.6605,109,14,16.986,0.016,0.115,0.187
4.6923,110,15,17.324,0.023,17.426,17.443
4.7107,111,15,17.324,0.014,0.102,0.173
4.7590,112,16,17.445,0.025,17.564,17.581
4.7776,113,16,17.445,0.014,0.098,0.168
4.8256,114,17,18.006,0.026,18.122,18.140
4.8449,115,17,18.006,0.016,0.106,0.186
4.8925,116,18,18.530,0.027,18.659,18.675
4.9123,117,18,18.530,0.018,0.109,0.193
4.9592,118,19,20.311,0.026,20.440,20.456
